Organization,Country,language,ngram1,ngram2,ngram3,ngram4
Direction Générale de la Statistique et de la Comptabilité,Togo,fr,Générale Statistique,Statistique Comptabilité,,
Statistics Department Tonga,Tonga,,,,,
Central Statistical Office,Trinidad & Tobago,,,,,
Institut National de la Statistique (INS),Tunisia,,,,,
Turkish Statistical Institute,Turkey,en,Turkish Statistical,,,
National Institute of Statistics and Forecasting of Turkmenistan,Turkmenistan,en,Forecasting Turkmenistan,Statistics Forecasting ,,
Department of Economic Planning and Statistics,Turks & Caicos,en,Planning Statistics,,,
Central Statistics Division,Tuvalu,en,Statistics Division,Central Statistics,,
Uganda Bureau of Statistics (UBOS),Uganda,en,,,,UBOS
State Statistics Committee of Ukraine,Ukraine,,,,,
United Arab Emirates Statistics Centre,United Arab Emirates,en,Emirates Statistics,Statistics Centre,,
UK Statistics Authority,United Kingdom,en,UK Statistics,,,
US Census Bureau,United States,en,US Census,Census Bureau,,
State Statistics Committee of Uzbekistan,Uzbekistan,en,State Statistics,Statistics Committee,,
Vanuatu National Statistics Office,Vanuatu,,,,,
Instituto Nacional de Estadistica,Venezuela,,,,,
General Statistics Office of Vietnam,Viet Nam,,,,,
Central Statistical Organization,Yemen,en,Statistical Organization,,,
Central Statistical Office of Zambia,Zambia,,,,,
ZIMSTAT,Zimbabwe,en,,,,ZIMSTAT
